repo,owner,owner_type,hit_patterns,stars,forks,watchers,commits,contributors,top_contributors,release_downloads,pypi_package,pypi_downloads_month,open_issues,pull_requests,disk_kb,language,license,created,pushed,is_archived,is_fork,is_mirror,homepage,topics,description,status,fetched_at,uses_sdv,integration,evidence,sdv_component,use_case,industry,kind,summary,authors,confidence,needs
Ajzboss/145FinalCheckpoint2,Ajzboss,User,ev,0,0,0,13,5,paulzzy|FrancoTSolis|Ajzboss|Franco-Solis|User,0,sim4rec,,0,0,1277,Jupyter Notebook,Apache-2.0,2025-06-01,2025-06-01,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Alejan2207/-ECBD-CordovaDiazGaelAlejandro,Alejan2207,User,gc|md|sm|st,0,0,0,23,2,Alejan2207|Alejan2207,0,,,0,0,4148,Jupyter Notebook,,2026-05-09,2026-08-06,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
AlejandroGM2000/PAC_GarciaMartinez_Alejandro,AlejandroGM2000,User,md,0,0,0,7,1,AlejandroGM2000,0,,,0,0,251,JavaScript,,2025-06-10,2025-06-10,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Alexanderanv/python_for_DE_homeworks,Alexanderanv,User,gc|md|st,0,0,1,28,1,Alexanderanv,0,,,0,0,143,Jupyter Notebook,,2024-09-11,2024-12-17,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Alexarr6/fraud_detection,Alexarr6,User,ct|md|req|st,0,0,1,2,1,Alexarr6,0,,,0,0,18,Python,,2024-10-31,2024-10-31,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Alishak003/FauxAI,Alishak003,User,ct|ev|md|st,0,0,1,13,2,Alishak003|Alishak003,0,,,0,0,10612,Python,,2025-05-18,2025-08-26,False,False,False,,,SYnthetic Medical Data Generator,ok,2026-08-14,,,,,,,,,,,
AloyBanerjee/AI-Gen-AI-Coding,AloyBanerjee,User,hma|md|mt,0,0,1,20,1,AloyBanerjee,0,,,0,0,1143249,Jupyter Notebook,,2025-03-21,2025-10-18,False,False,False,,,Coding of Gen AI,ok,2026-08-14,,,,,,,,,,,
Alzameister/DeConSyn,Alzameister,User,ct|gc|md|rdt|st,0,0,0,274,2,tristan25|Alzameister,0,defesyn,,0,0,48359,Python,MIT,2025-08-11,2025-12-20,False,False,False,,,"This is the repository for the thesis work ""Design and Implementation of a Decentralized Synthetic Data Generation Framework"" done at the Communication Systems Group of the University of Zurich, by Prof. Dr. Burkhard Stiller, Weijie Niu, and Francisco Enguix Andrés.",ok,2026-08-14,,,,,,,,,,,
AmarjeetMohanty/ML_-assignment,AmarjeetMohanty,User,md,0,0,1,10,1,AmarjeetMohanty,0,,,0,0,1746,Jupyter Notebook,MIT,2023-09-19,2023-09-28,False,False,False,,,This repo contains the assignments of Machine Learning Course BITS F464,ok,2026-08-14,,,,,,,,,,,
Amisha-Kelkar/BA882_Project,Amisha-Kelkar,User,ct|gc|md|req|st,0,1,0,77,4,Amisha-Kelkar|heyucheng23|HyAchinth|Chenhui-1,0,,,0,18,123399,Python,,2025-10-12,2026-03-05,False,False,False,,,Predictive Inventory Intelligence Platform,ok,2026-08-14,,,,,,,,,,,
AmoghBhagwat/CS253-Python-Assignment,AmoghBhagwat,User,ct|md|st,0,0,1,4,1,AmoghBhagwat,0,,,0,0,404,Jupyter Notebook,,2024-04-14,2024-04-14,False,False,False,,,Submission for the Python Assignment in the course CS253 offered in Winter 2024,ok,2026-08-14,,,,,,,,,,,
AnanyaJain3/ML_Proj,AnanyaJain3,User,md,0,1,1,33,1,AnanyaJain3,0,,,0,0,8054,Jupyter Notebook,MIT,2023-09-08,2023-12-02,False,False,False,,,Machine Learning Assignments and Projects,ok,2026-08-14,,,,,,,,,,,
Anran0716/musa650-final,Anran0716,User,ev,0,2,1,36,3,Anran0716|Xiaoyi|XiaoyiWu21,0,,,0,0,93919,Jupyter Notebook,,2022-04-07,2022-06-11,False,False,False,,deep-learning|generative-adversarial-network|gis|machine-learning|python,22 Spring MUSA 650 Machine Learning Final project,ok,2026-08-14,,,,,,,,,,,
Anupama1395/MIMIC_Synthetic_data_Generation,Anupama1395,User,ct|md|rdt|st,0,0,0,5,1,Anupama1395,0,,,0,0,5457,Jupyter Notebook,,2025-09-11,2026-03-02,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Anushree-kale/TelemetryX,Anushree-kale,User,ct,0,0,0,84,1,Anushree-kale,0,,,0,0,3583,Python,,2026-05-17,2026-08-13,False,False,False,https://telemetryx-phi.vercel.app,,,ok,2026-08-14,,,,,,,,,,,
ArchFin/ASC_project,ArchFin,User,ct|ev|md|st,0,0,1,70,1,ArchFin,0,,,0,0,71202,Jupyter Notebook,Apache-2.0,2024-11-25,2026-07-17,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Ardavaa/CTGAN-Customer-Churn,Ardavaa,User,ct|md|st,0,0,0,4,1,Ardavaa,0,,,0,0,1333,Jupyter Notebook,,2025-12-05,2025-12-05,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
ArmandoMencias/TestSintetico,ArmandoMencias,User,md|st,0,0,0,10,1,ArmandoMencias,0,,,0,0,108157,Jupyter Notebook,,2026-02-03,2026-02-12,False,False,False,,,pruebas para crear test sinteticos concistentes,ok,2026-08-14,,,,,,,,,,,
ArshiaIlaty/PsyGenTAB,ArshiaIlaty,User,md|req,0,0,0,2,1,ArshiaIlaty,0,,,0,0,71,Python,,2026-03-06,2026-03-09,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
ArthGV/Benchmarking-of-Tabular-Synthetic-Data-Generation,ArthGV,User,ct|gc|md|st,0,1,1,169,3,zoemeier|ArthGV|frederiksksk,0,,,0,0,47196,Python,MIT,2025-03-18,2025-05-30,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
ArushJain-697/UrjaDrishti,ArushJain-697,User,gc|md|st,0,0,0,82,5,ArushJain-697|manvik0730v|GargBhavya-tech|21Naman|no-u296,0,,,0,0,8416,Python,,2026-05-03,2026-05-07,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
AshutoshMishra302/Fraud_detection,AshutoshMishra302,User,ct|ev|md|st,0,0,0,4,1,AshutoshMishra302,0,,,0,0,9414,Python,,2026-07-26,2026-07-26,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Atefeh-Amjadian/federated-fetal-health-project,Atefeh-Amjadian,User,ct|md|req|st,0,0,0,13,1,Atefeh-Amjadian,0,,,0,4,61,Python,,2026-02-02,2026-05-04,False,False,False,,,Federated Learning for Fetal Health Classification (Independent ML Project),ok,2026-08-14,,,,,,,,,,,
Athanlaich/MyWork,Athanlaich,User,ct,0,0,0,3,1,Athanlaich,0,,,0,0,69687,Python,Apache-2.0,2026-05-04,2026-05-04,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Athar04-Stela/skripsi-sample,Athar04-Stela,User,hma,0,0,0,3,1,Athar04-Stela,0,,,0,0,19,Python,Apache-2.0,2025-05-26,2026-07-16,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
AutoSenseAI/AutoSenseAI,AutoSenseAI,Organization,req,0,0,0,4,1,ngoubimaximillian12,0,,,0,0,440,,,2025-04-23,2025-05-13,False,False,False,,,"AutoSenseAI – A multi-agent AI assistant for data science automation, featuring smart uploads, AutoEDA, forecasting, explainability, and GPT-powered insights.",ok,2026-08-14,,,,,,,,,,,
AyushKumar-alt/SynthFHIR,AyushKumar-alt,User,ct|ev|gc|hma|md|par|sq|st,0,0,0,21,1,AyushKumar-alt,0,,,0,0,60298,HTML,,2026-06-27,2026-06-28,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Ayushkumarpatel-AKP/Parkinson-s-Disease-Early-Screening-Progression-Prediction-System,Ayushkumarpatel-AKP,User,gc|md|st,0,0,0,4,1,Ayushkumarpatel-AKP,0,,,0,0,715,Python,,2026-07-26,2026-07-27,False,False,False,,,akp works,ok,2026-08-14,,,,,,,,,,,
Azrha/Shit-die-ChatGPT-geeft,Azrha,User,ct|gc|md|st,0,0,0,19,1,Azrha,0,,,0,0,146,Shell,,2026-01-07,2026-01-08,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
BAndrewGit/DatasetProcessing-Oversampling,BAndrewGit,User,ct|md|st,0,0,1,88,1,BAndrewGit,0,,,0,0,713,Python,,2025-02-01,2026-05-09,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
BalaneML/TVAE,BalaneML,User,rdt,0,0,0,12,1,BalaneML,0,tvae,,0,0,139,Python,,2026-05-16,2026-05-20,False,False,False,,,Tabular Variational Autoencoder,ok,2026-08-14,,,,,,,,,,,
Barath-1B/Synthetic-Health-Data-Audit,Barath-1B,User,md|req|st,0,0,0,2,1,Barath-1B,0,,,0,0,1491,Python,,2026-05-26,2026-07-22,False,False,False,,,Synthetic mental health data generation using VAE and CTGAN on NHANES dataset,ok,2026-08-14,,,,,,,,,,,
Barts-Life-Science/ADC-DB,Barts-Life-Science,Organization,gc|md|st,0,0,1,522,6,ev-h|ev-h|rehbbea|KaiyueXing|rehbbea,0,,,0,11,3358,Python,MIT,2024-05-28,2026-08-12,False,False,False,,,Repository for ADC Databricks scripts,ok,2026-08-14,,,,,,,,,,,
Baskar4513/ProjectWork,Baskar4513,User,ct|md|st,0,0,0,2,1,Baskar4513,0,,,0,0,662,Jupyter Notebook,,2025-06-13,2025-06-19,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
BcKBA/ICCSA2026-Hybrid-Fraud-Detection--244-,BcKBA,User,ct|md,0,0,0,1,1,BcKBA,0,,,0,0,707,Python,,2026-05-07,2026-05-07,False,False,False,,,"Hybrid Fraud Detection System for Credit Card Transactions using Supervised Learning, Clustering (UMAP+DBSCAN), and Generative Models (CTGAN). Benchmarking classical and deep learning models with imbalanced data sampling strategies. ICCSA 2026 Conference Submission.",ok,2026-08-14,,,,,,,,,,,
BenedettaFrancesconi/ICLR,BenedettaFrancesconi,User,gc|st,0,0,1,2,1,BenedettaFrancesconi,0,,,0,0,124,Jupyter Notebook,,2023-09-05,2023-09-11,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Bernardo-giff/bootcamp_sep24_bcn_pt,Bernardo-giff,User,req,0,0,1,118,4,Bernardo-giff|LucasFloresC|arnauog|catearesu,0,,,0,4,256675,Jupyter Notebook,,2024-09-14,2025-02-03,False,False,False,,,This repo will be used to upload the class material. The main branch will contain materials and notebooks without solution. There will be another branch called live with the materials we modify during class,ok,2026-08-14,,,,,,,,,,,
Bhanu88/corep-governance-pipeline,Bhanu88,User,req,0,0,0,4,1,Bhanu88,0,,,0,0,38,Python,,2026-05-05,2026-05-05,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Bhargava180724/Funthree,Bhargava180724,User,ct|ev|md|req|st,0,0,0,5,2,renoschubert|Lohith248,0,,,0,0,329,Python,,2025-11-07,2026-06-28,False,False,False,,,promptcraft,ok,2026-08-14,,,,,,,,,,,
Bhumika-1432006/-Med_Synth_AI,Bhumika-1432006,User,req,0,0,0,1,1,Bhumika-1432006,0,,,0,0,17971,Python,,2026-06-16,2026-06-16,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
BishalChhetri/FL-EVCs-IDS,BishalChhetri,User,gc|md|st,0,0,1,10,1,BishalChhetri,0,,,0,0,23710,Jupyter Notebook,,2025-04-24,2025-06-21,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Blackstar00010/DtoK3pi-pid-calib,Blackstar00010,User,ct|gc|md|st,0,0,1,3,1,Blackstar00010,0,,,0,0,9120,C++,,2025-04-13,2026-03-14,False,False,False,,,PID calibration of RICH detectors using the D➝K3pi decay channel,ok,2026-08-14,,,,,,,,,,,
Bobliuuu/shopify-monolith,Bobliuuu,User,gc|md|st,0,1,0,29,5,Bobliuuu|GabeDiniz|NitpreetB|FahmidAhmed1|yuvibirdi,0,,,6,10,21418,TypeScript,,2025-07-29,2026-05-10,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
BohdanPavliuk/CVG,BohdanPavliuk,User,hma|md|mt,0,0,0,2,1,BohdanPavliuk,0,cvg,,0,0,233,Jupyter Notebook,MIT,2026-04-28,2026-04-29,False,False,False,,,Cluster-conditioned vine copula generator and fidelity evaluation framework for synthetic relational retail data.,ok,2026-08-14,,,,,,,,,,,
Bouka12/HardTVAE,Bouka12,User,ct|md|sm|st,0,0,0,33,1,Bouka12,0,,,0,0,34798,Python,,2025-12-05,2026-06-18,False,False,False,https://bouka12.github.io/HardTVAE/,,HardVAE: Hardness-Aware Variational Autoencoders,ok,2026-08-14,,,,,,,,,,,
Brandon-Ism/synthetic-data-evaluation,Brandon-Ism,User,ct|gc|md|req|st,0,0,0,20,1,Brandon-Ism,0,,,0,0,90609,Jupyter Notebook,,2025-08-27,2025-12-24,False,False,False,,,"Information-theoretic evaluation of synthetic, simulated, and ground-truth data with extensions to fidelity.",ok,2026-08-14,,,,,,,,,,,
BrejeshKoushal/MimicData,BrejeshKoushal,User,ct|ev|gc|md|st,0,0,0,1,1,BrejeshKoushal,0,repl-nix-workspace,,0,0,2738,TypeScript,,2025-11-11,2025-11-11,False,False,False,https://mimic-data.vercel.app,,,ok,2026-08-14,,,,,,,,,,,
BrigtHaavardstun/EvaluatingSyntheticTS,BrigtHaavardstun,User,ct|md|st,0,0,0,2,1,BrigtHaavardstun,0,,,0,0,309030,Jupyter Notebook,GPL-3.0,2025-09-18,2025-09-18,False,False,False,,,Evaluating synthetic time series generators.,ok,2026-08-14,,,,,,,,,,,
BrookesLab/SynthenticDataset,BrookesLab,Organization,hma|md|mt|req,0,0,0,6,1,Deepthi-v-s,0,,,0,1,33,Python,,2026-07-03,2026-07-22,False,False,False,,,Synthentic Dataset Generation,ok,2026-08-14,,,,,,,,,,,
BruceZhang1015/CTR-Prediction-and-Synthetic-Data-Usability-Investigation,BruceZhang1015,User,req,0,0,0,3,2,BruceZhang1015|Bruce Zhang,0,,,0,0,17446,Jupyter Notebook,,2025-10-03,2025-12-07,False,False,False,,,"A project investigating how feature selection, down-sampling, and data permutation affect the downstream utility of synthetically generated data from CTGAN in highly imbalanced classification tasks.",ok,2026-08-14,,,,,,,,,,,
Bruno-Gomes-QA/datalchemy-initial-version,Bruno-Gomes-QA,User,hma|mt,0,0,1,45,1,Bruno-Gomes-QA,0,datalchemy,,0,6,490,Python,MIT,2025-01-19,2025-08-19,False,False,False,,,Uma biblioteca para facilitar a geração de dados sintéticos orientados por semântica e a integração com bancos SQL.,ok,2026-08-14,,,,,,,,,,,
BrunoKedzierski/MLOPS-Project,BrunoKedzierski,User,gc|md|st,0,1,1,46,2,BrunoKedzierski|Jakub-Wilczak,0,,,0,0,2281,Python,,2023-12-13,2026-03-11,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
BytePoem0/FiETAN,BytePoem0,User,rdt,0,0,1,3,1,BytePoem0,0,,,0,0,1293,Python,,2023-03-23,2023-03-24,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
CARBAJE/DetectingAggressionInTexts,CARBAJE,User,ct|md|st,0,0,0,3,2,CARBAJE|KevinUrielAdler,0,,,0,0,77942,Jupyter Notebook,,2025-06-25,2025-06-27,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
CUI19999/PS6,CUI19999,User,req,0,0,1,7,1,CUI19999,0,,,0,0,4282,Python,,2024-11-24,2024-11-24,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
CY2404/BoroughAccidentInsights,CY2404,User,req,0,0,1,7,1,CY2404,0,,,0,0,467,Jupyter Notebook,MIT,2024-09-13,2024-09-13,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Camilogc93/fastapi-ml,Camilogc93,User,req,0,0,1,23,1,Camilogc93,0,,,0,0,1021,HTML,,2022-11-05,2022-11-18,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Capstone-hotel-booking-analysis-grp-10/hotel-booking-analysis,Capstone-hotel-booking-analysis-grp-10,Organization,ct|md|st,0,0,0,4,2,Ashutosh-IITJ|Yash-iitj,0,,,0,0,3,Python,,2024-11-24,2024-11-28,False,False,False,,,This project is a capstone project created by group 10.,ok,2026-08-14,,,,,,,,,,,
Carolynsymonds/word-prediction,Carolynsymonds,User,req,0,0,1,54,2,Carolynsymonds|aeb56,0,,,0,0,7464,Python,,2025-03-25,2025-05-17,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Carson-Lu/Private-Histogram-Voting-for-Synthetic-Data-Generation,Carson-Lu,User,ct|gym|rdt,0,0,0,76,2,Carson-Lu|Carson-Lu,0,,,0,0,100753,Python,,2025-11-17,2026-05-07,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Cerion73/AgaKhan-diagnostic-system,Cerion73,User,req,0,0,1,16,1,Cerion73,0,,,0,0,145752,Jupyter Notebook,,2025-04-21,2025-06-01,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Chahat-11/Peer-review-agent,Chahat-11,User,req,0,0,0,4,1,Chahat-11,0,,,0,0,15,Python,,2026-06-30,2026-06-30,False,False,False,,,A Multi-Agent Framework for Automated Scholarly Peer Review and Conflict Resolution.,ok,2026-08-14,,,,,,,,,,,
Chiragga24/DSC202,Chiragga24,User,req,0,0,1,15,1,Chiragga24,0,,,0,1,6913,Jupyter Notebook,,2025-03-20,2026-05-11,False,False,False,https://dsc202-project.streamlit.app/,aws-lambda|database-management|neo4j|psql,Health Metric Tracker project using fitbit-data,ok,2026-08-14,,,,,,,,,,,
Chris-2005/Paddle-RAG,Chris-2005,User,req,0,0,0,6,1,Chris-2005,0,,,0,0,84,Python,,2025-07-04,2025-07-04,False,False,False,,,基于DeepSeek-R1的RAG应用,ok,2026-08-14,,,,,,,,,,,
ChrisWeijers/plausible-counterfactual-creation,ChrisWeijers,User,md|req|st,0,0,0,12,1,ChrisWeijers,0,,,0,0,8601,Python,,2026-03-19,2026-06-21,False,False,False,,counterfactual-explanations|explainable-ai|high-stakes-decision-making|manifold-learning|bachelor-project,"Finding and creating plausible counterfactuals for high-stakes decision models, using the underlying data distribution or manifold. This is done as Bachelor End Project for the BSc Data Science.",ok,2026-08-14,,,,,,,,,,,
ChristopherLelin/mockdata-project,ChristopherLelin,User,gc|md|st,0,0,0,3,1,ChristopherLelin,0,,,0,0,14789,Python,,2025-07-14,2025-07-14,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
CianWoods05/Dissertation,CianWoods05,User,md|st,0,0,0,2,1,CianWoods05,0,,,0,0,104953,Python,,2026-05-06,2026-05-06,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Climate-Offsets-for-AI-Responsibility/cofair-colonial,Climate-Offsets-for-AI-Responsibility,Organization,req,0,0,0,162,5,yirinaw|andrewctaylor|cofair-dot-org|gauge-io|git-ashish,0,,,0,0,2831,HTML,,2026-02-23,2026-08-14,False,False,False,,,COFAIR list-price pipeline — pricing_history/ for cofair-exchange,ok,2026-08-14,,,,,,,,,,,
ColeDnought/Bluesky-Labeler,ColeDnought,User,ct|md|st,0,0,0,45,3,ColeDnought|tomrist|Om-Kamath,0,,,0,0,4183,Jupyter Notebook,,2025-10-30,2025-11-26,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Colorado-Mesa-University-Cybersecurity/Image-Based-Intrusion-Detection-System-for-Global-Positioning-System-Spoofing-in-Unmanned-Aerial-Veh,Colorado-Mesa-University-Cybersecurity,Organization,ct|ev|gc|md|st,0,0,2,187,2,allenmonkey970|aameens,0,,,0,0,947934,Jupyter Notebook,MIT,2025-05-10,2026-03-13,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
ComputationalIntelligenceGroup/tfm_BN_agentic_RAG,ComputationalIntelligenceGroup,Organization,ct,0,0,0,25,1,AdrianRaposo,0,,,0,0,58748,Python,MIT,2025-07-12,2026-06-07,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Concave-Streak/BIGAN,Concave-Streak,User,ct|gc|md|st,0,0,1,30,6,Concave-Streak|arnavbansal2112|Shshank570|mdutta1234|pranshu2004,0,,,0,0,9371,Jupyter Notebook,,2024-05-17,2024-07-18,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Constantinos-uni/MuleKit,Constantinos-uni,User,req,0,1,0,42,3,Constantinos-uni|AlexandrosV07|Team 1,0,,,0,0,3300,Python,,2025-12-08,2025-12-09,False,False,False,,,"'Domestic Mule Discovery toolkit' Challenge: Public datasets (bank directories, forums, business records) build a tool to surface likely mule accounts active in scam pipelines - prioritized by country, name, patters, or behaviour.",ok,2026-08-14,,,,,,,,,,,
CosmosBowen/two-move-chess,CosmosBowen,User,req,0,0,0,2,1,CosmosBowen,0,,,0,0,7,Python,,2025-06-19,2025-06-19,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Coul33t/med-synth-data-gen,Coul33t,User,md|par|sq,0,0,0,48,3,Quentin Couland|Coul33t|Quentin Couland,0,,,0,0,2419,Python,,2025-06-12,2025-06-12,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Createlid/ecommerce_dashboard,Createlid,User,req,0,0,1,6,1,Createlid,0,,,0,0,12974,Python,,2024-01-26,2024-02-11,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
CynicDog/pseudonymization-proposal,CynicDog,User,hma,0,0,0,14,1,CynicDog,0,,,0,1,210,,,2026-05-09,2026-05-12,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
DANCARCK/Sistema-de-Soporte-de-Decision,DANCARCK,User,gc|hma|md|mt|req|st,0,0,0,1,1,DANCARCK,0,,,0,0,46472,Python,,2025-12-08,2025-12-08,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
DATOS-CAT/Deployment,DATOS-CAT,Organization,ev|gc|md|req|st,0,0,1,15,3,JudMartinez|jmartin3|alabarga,0,,,0,0,11,Jupyter Notebook,,2024-03-20,2024-09-03,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
DEEPIKAS22CSR040/Heart-Disease-Prediction,DEEPIKAS22CSR040,User,gc|md,0,0,1,4,1,DEEPIKAS22CSR040,0,,,0,0,28,Python,,2026-04-06,2026-04-08,False,False,False,,,Deep learning-based heart disease prediction using denoising autoencoders and synthetic data augmentation to improve classification performance.,ok,2026-08-14,,,,,,,,,,,
Dani-97/multimodal_fusion_covid_19_code,Dani-97,User,ct|gc|md,0,0,1,80,1,Dani-97,0,,,0,0,51609,Python,,2022-03-07,2024-09-12,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Daniel-Nguyen121/Optim_CTGAN,Daniel-Nguyen121,User,ct|rdt,0,0,0,4,1,Daniel-Nguyen121,0,,,0,0,43509,Python,,2025-09-29,2025-09-30,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Danilosauro/simulating_fake_datasets,Danilosauro,User,req,0,0,1,13,1,Danilosauro,0,,,0,6,1982,Python,,2024-04-22,2024-11-29,False,False,False,,,"to simulate fake datasets by using python and the libraries pandas, random and faker",ok,2026-08-14,,,,,,,,,,,
Dannypham142/Machine-Learning-Model-Training-with-Complex-Sample-Survey,Dannypham142,User,gc|md|st,0,0,0,8,1,Danny Pham,0,,,0,0,526,Jupyter Notebook,,2026-06-05,2026-07-29,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
DanyelleJhang/FST,DanyelleJhang,User,ct|ev|gc|md|st,0,0,1,12,2,DanyelleJhang|Kaijyun Jhang,0,,,0,0,4067,Jupyter Notebook,,2024-06-02,2024-08-12,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Darri916/dataforge-ai,Darri916,User,ct|gc|md|st,0,0,0,20,1,Darri916,0,,,0,0,101,Python,,2026-06-27,2026-07-21,False,False,False,https://dataforge-ai-gold.vercel.app,,,ok,2026-08-14,,,,,,,,,,,
DarshilPungalia/Shell.ai-Hackathon,DarshilPungalia,User,gc|md|st,0,0,0,36,1,DarshilPungalia,0,,,0,0,6322,Jupyter Notebook,,2025-07-07,2025-07-27,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Daryldactyl/Audiobook_creator,Daryldactyl,User,req,0,0,1,18,1,Daryldactyl,0,,,0,0,7871,Python,,2024-04-29,2024-07-29,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Data-drone/Scaling_ML_on_db,Data-drone,User,ct|md|st,0,0,0,41,2,Andy (Agent)|Data-drone,0,scaling-xgb,,0,20,506,Jupyter Notebook,,2026-02-12,2026-05-26,False,False,False,,,Repo looking at how to best scale machine learning on databricks,ok,2026-08-14,,,,,,,,,,,
David-Li0406/meta-skill-evloving,David-Li0406,User,ct|ev|gc|md|st,0,1,0,14,2,sya225|David-Li0406,0,,,0,2,1152887,,,2026-05-18,2026-07-14,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
DavidRiemer02/GDD,DavidRiemer02,User,ev|gc|hma|mt|st,0,0,1,75,1,DavidRiemer02,0,,,0,0,64741,Python,,2025-02-12,2025-04-06,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Denvert/DIOR-SKEIN,Denvert,User,ct|rdt,0,0,1,3,1,Denvert,0,,,0,0,2251,Python,,2022-04-07,2022-06-22,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
DerNiccoo/Privacy,DerNiccoo,User,ev,0,0,1,19,1,DerNiccoo,0,,,0,0,282,Python,,2021-03-30,2021-10-14,False,False,False,,,Privacy preserving synthetic data generation,ok,2026-08-14,,,,,,,,,,,
Derek327783/DSA4266-project2,Derek327783,User,ct|md|st,0,0,1,54,5,Derek327783|XihuaZ|MinhDuc3103|ErSongHeng|JH1816,0,,,0,0,22911,Jupyter Notebook,,2023-09-21,2023-11-12,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Dev04-Shah/TaskManager-With-Django-,Dev04-Shah,User,req,0,0,1,2,1,Dev04-Shah,0,,,0,0,670,Python,,2024-12-02,2024-12-02,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
DevRushHack/wirecraft,DevRushHack,Organization,req,0,0,0,10,2,akuldeepj|Lohithaksh05,0,,,0,0,871,JavaScript,,2025-09-06,2025-09-07,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
DfSilver/SyntheaScript,DfSilver,User,req,0,0,0,4,1,DfSilver,0,,,0,0,380,Python,,2025-09-03,2025-09-03,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
DhungelShubham/Nepal-Macroeconomic-Analysis,DhungelShubham,User,gc|md|st,0,0,0,8,1,DhungelShubham,0,,,0,1,1648,Jupyter Notebook,,2026-05-05,2026-07-28,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Dichill/AtlasParser,Dichill,User,req,0,0,1,25,1,Dichill,0,,,0,0,25712,Python,,2024-07-12,2024-08-02,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
DiegoBernalTecMTY/MLOps_Equipo63,DiegoBernalTecMTY,User,req,0,1,0,58,8,Liobreaker1|VelascoCode|DiegoBernalTecMTY|Ivanrs297|rfolmedoa,0,,,0,2,137343,Jupyter Notebook,,2025-10-05,2025-10-12,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
Dijo-404/FairLoop,Dijo-404,User,ct|md|st,0,0,0,4,1,Dijo-404,0,,,0,0,112,Python,,2026-04-28,2026-04-28,False,False,False,https://fair-loop.vercel.app,,,ok,2026-08-14,,,,,,,,,,,
Dmitry7K/MyScripts-SEO-,Dmitry7K,User,req,0,1,1,3,1,Dmitry7K,0,,,0,0,141422,Python,,2024-07-31,2024-07-31,False,False,False,,,"Scripts for parcing, check domens and other",ok,2026-08-14,,,,,,,,,,,
